Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
175,Entry short,2026-02-18 07:20,Short,4868.363,12.13,59053.24319,-199.94,-0.34,171.31,0.29,-199.94,-0.34,-1223.09,-12.23
176,Exit long,2026-02-18 14:30,Long Exit,4926.964,38.41,189444.7265,-200.04,-0.11,28.92,0.02,-200.04,-0.11,-1423.13,-14.23
176,Entry long,2026-02-18 14:25,Long,4932.172,38.41,189444.7265,-200.04,-0.11,28.92,0.02,-200.04,-0.11,-1423.13,-14.23
177,Exit long,2026-02-18 15:05,Long Exit,4937.387,43.61,215119.4952,199.95,0.09,199.95,0.09,-118.71,-0.06,-1223.18,-12.23
177,Entry long,2026-02-18 14:45,Long,4932.802,43.61,215119.4952,199.95,0.09,199.95,0.09,-118.71,-0.06,-1223.18,-12.23
178,Exit long,2026-02-18 15:20,Long Exit,4933.404,34.32,169514.4422,-200.02,-0.12,111.81,0.07,-200.02,-0.12,-1423.2,-14.23
178,Entry long,2026-02-18 15:10,Long,4939.232,34.32,169514.4422,-200.02,-0.12,111.81,0.07,-200.02,-0.12,-1423.2,-14.23
179,Exit short,2026-02-18 18:05,Short Exit,4923.261,29.21,143608.4237,-200.03,-0.14,2.42,0.00,-200.03,-0.14,-1623.23,-16.23
179,Entry short,2026-02-18 17:35,Short,4916.413,29.21,143608.4237,-200.03,-0.14,2.42,0.00,-200.03,-0.14,-1623.23,-16.23
180,Exit short,2026-02-18 18:35,Short Exit,4909.918,34.89,171506.9587,199.92,0.12,199.92,0.12,0,0.00,-1423.31,-14.23
